uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
spotify:track:6TodWdTSDfzwgYynTZSvJn,88rising,Midsummer Madness,0.409,0.678,-7.731,0.0878,0.359,0.167,0.168,89.968
spotify:track:2ZDpSQfBdgkooeXw6oj3Uz,Rich Brian,100 Degrees,0.756,0.648,-5.287,0.0731,0.118,0.515,0.657,80.979
spotify:track:0hNhlwnzMLzZSlKGDCuHOo,Beach House,Space Song,0.509,0.79,-7.105,0.0293,0.218,0.144,0.625,147.073
spotify:track:5pjWzUc1tVcewUTdDJd6Ce,Sun Rai,San Francisco Street,0.877,0.542,-9.102,0.0419,0.224,0.0858,0.509,111.474
spotify:track:5Dpeoi8BLN4iWM0oaRU7C6,Oh Wonder,How It Goes,0.581,0.351,-12.2,0.104,0.867,0.375,0.524,93.988
spotify:track:28sWYevC75ZrUMJ0tD4zWM,Hollow Coves,These Memories,0.521,0.265,-18.229,0.0319,0.961,0.0676,0.392,77.519
spotify:track:3JvrhDOgAt6p7K8mDyZwRd,Vance Joy,Riptide,0.484,0.731,-6.694,0.0379,0.431,0.151,0.51,101.654
spotify:track:4rsW3WCZBGwhHfJWuHRwyT,Phillip Phillips,Home,0.606,0.826,-6.04,0.0307,0.0256,0.117,0.322,121.04
spotify:track:5L79aNYCTKiZq7vaOElXYj,Phillip Phillips,"Gone, Gone, Gone",0.664,0.642,-5.961,0.038,0.129,0.114,0.501,118.002
spotify:track:0W4Kpfp1w2xkY3PrV714B7,The Lumineers,Ho Hey,0.685,0.466,-9.074,0.0304,0.794,0.0915,0.353,79.936
spotify:track:6oVm5ocTB8B0rjO5dZk8Px,Vancouver Sleep Clinic,Ayahuasca,0.463,0.228,-15.717,0.0338,0.734,0.0691,0.0528,148.003
spotify:track:3g2BcuGHf4zYPSxv1uoSmv,Death Cab for Cutie,When We Drive,0.72,0.628,-8.759,0.0302,0.405,0.311,0.524,103.576
spotify:track:0I0ZackSSk90oGUJtfKnJd,Dream Easy Collective,Ultimately,0.734,0.22,-17.295,0.226,0.896,0.339,0.625,106.977
spotify:track:0SzLEOsIqaVdThCSzvbgCy,Lostboycrow,Santa Fe,0.482,0.378,-10.448,0.0468,0.542,0.189,0.401,187.834
spotify:track:5HsSsEeP3hU9QSfHZrzbtA,Finding Hope,3:00 AM,0.548,0.148,-18.726,0.0419,0.557,0.286,0.0344,81.999
spotify:track:3X0J4QzAMCoyMZUSMCoVDw,Jeremy Zucker,thinking 2 much,0.667,0.371,-11.845,0.0476,0.788,0.0998,0.519,104.946
spotify:track:5jOQ5v49S1h496AiNlk682,Oh Wonder,Plans,0.458,0.298,-13.191,0.25,0.833,0.0631,0.144,76.575
spotify:track:1gXBi2I04CLJkTQnhNfEJT,Gallant,Weight in Gold,0.38,0.438,-5.526,0.0962,0.0259,0.154,0.349,179.404
spotify:track:169koB619bHoCZGLgAcDSX,Clueless Kit,Come to a Stop (feat. Kora),0.867,0.492,-6.663,0.395,0.767,0.102,0.542,160.031
spotify:track:6ta5yavnnEfCE4faU0jebM,Catherine Feeny,Mr Blue,0.456,0.386,-10.293,0.032,0.835,0.389,0.612,165.733
spotify:track:6brEbACn8gEJAZjbNQEElb,Fialta,High Above Chicago,0.603,0.361,-9.335,0.0291,0.416,0.105,0.131,121.098
spotify:track:0IVHlst3XMgzXUJbIyZ8oO,Oh Wonder,Without You,0.639,0.465,-7.247,0.0696,0.27,0.124,0.319,86.994
spotify:track:2kJqNHHGOzLNahukdvlDWN,Oh Wonder,Drive,0.657,0.456,-8.351,0.0961,0.705,0.084,0.381,141.735
spotify:track:1m7XbKhOvJst478ms8yUrr,Emma Sameth,Spin With You (feat. Jeremy Zucker),0.818,0.445,-7.467,0.23,0.718,0.108,0.423,95.944
spotify:track:4cxwiuYJltrPeWr5FDDntO,Jeremy Zucker,desire,0.623,0.236,-12.529,0.0485,0.843,0.376,0.351,137.938
spotify:track:2jPQpbzZd90opXN0cBOspe,RKCB,Naive,0.64,0.582,-9.529,0.041,0.716,0.328,0.085,100.024
spotify:track:2Czp64BykWyWfIssRXQZvT,Oh Wonder,Heart Hope,0.377,0.375,-13.364,0.0505,0.938,0.108,0.0712,122.431
spotify:track:7BrvQTRoBtMlZuRuiWfFnf,khai dreams,Summer Is Like a Dream,0.586,0.384,-16.529,0.246,0.821,0.0741,0.647,140.006
spotify:track:2ULvsEVdvPbXERrl3mGEE8,Jeremy Zucker,firefly,0.738,0.319,-8.479,0.117,0.569,0.145,0.427,83.017
spotify:track:2qcusYRhQiSQexL1cmkj8N,Chris Wright,Up and Down,0.501,0.523,-9.298,0.174,0.877,0.143,0.576,132.348
spotify:track:3uLeFt6TLThy8ij5cf6MTt,Chris Wright,Sleep Alone,0.763,0.286,-15.599,0.102,0.772,0.0954,0.175,112.192
spotify:track:4ugiUtLDE6ACEeG5vj1rEh,Milky Day,Blur,0.453,0.287,-12.695,0.051,0.787,0.106,0.076,127.454
spotify:track:34CuWXYL4yE4zgUR7yKqC3,khai dreams,Drifting Away,0.52,0.268,-15.199,0.0407,0.739,0.0718,0.273,119.856
