artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,time_signature
Said the Sky,Erase Me,0.528,0.61,5,-6.564,1,0.0287,0.376,7.32e-05,0.211,0.304,130.11,spotify:track:0AISJtBDtZXgB2fuvcjQEN,4
ODESZA,Falls (feat. Sasha Sloan),0.294,0.697,6,-6.029,1,0.128,0.0398,0.00011,0.136,0.183,160.566,spotify:track:6oNZ0WxqptE7V0qpjtyJ4a,4
FLETCHER,Undrunk,0.613,0.579,5,-6.484,1,0.0833,0.489,0.0,0.126,0.551,91.863,spotify:track:1Pj5oOFzLYELyyeh1IYRK0,4
Marc E. Bassy,Just My Luck,0.617,0.64,8,-5.601,1,0.042,0.283,1.02e-06,0.164,0.346,156.98,spotify:track:2QsBAfiNmngcrZsOTznqBG,4
Calvin Harris,Summer,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,spotify:track:6YUTL4dYpB9xZO5qExPf05,4
Boy In Space,Cold,0.711,0.412,9,-6.827,1,0.0445,0.184,0.0,0.0546,0.186,130.015,spotify:track:5jYe1mOKg5zUx0enf1DOdz,4
Oh Wonder,Happy,0.698,0.516,6,-8.472,1,0.0331,0.454,0.0,0.0922,0.516,101.979,spotify:track:64oxZ8Ma5HAWV04LAI2KwT,4
Jeremy Zucker,not ur friend,0.801,0.272,4,-10.564,1,0.415,0.302,0.0,0.407,0.648,68.965,spotify:track:1g8illkxDpZ9oHckc7NovJ,4
Carlie Hanson,Back in My Arms,0.543,0.781,1,-4.854,0,0.0988,0.0879,0.0,0.0868,0.522,150.174,spotify:track:1FlAMUpKrjY4NdaqsXjl1w,4
keshi,2 soon,0.517,0.663,6,-6.688,0,0.0375,0.146,0.0,0.322,0.146,174.032,spotify:track:5SlU0Yhi51jobhEiGE4xDv,4
The Chainsmokers,Roses (feat. ROZES) - Zaxx Remix,0.677,0.881,1,-3.534,0,0.054,0.00445,0.0146,0.359,0.566,128.121,spotify:track:5MgBUUjbkQ27Kd9CbeZFLo,4
Christian French,superstars,0.312,0.614,8,-6.073,1,0.0466,0.0589,0.0,0.0898,0.356,205.379,spotify:track:0TqaX16qLpX7YqFcAl9lDy,4
88rising,Midsummer Madness,0.409,0.678,9,-7.731,1,0.0878,0.359,4.76e-06,0.167,0.168,89.968,spotify:track:6TodWdTSDfzwgYynTZSvJn,4
Rich Brian,100 Degrees,0.756,0.648,0,-5.287,1,0.0731,0.118,0.0,0.515,0.657,80.979,spotify:track:2ZDpSQfBdgkooeXw6oj3Uz,4
Beach House,Space Song,0.509,0.79,0,-7.105,0,0.0293,0.218,0.125,0.144,0.625,147.073,spotify:track:0hNhlwnzMLzZSlKGDCuHOo,4
Sun Rai,San Francisco Street,0.877,0.542,2,-9.102,1,0.0419,0.224,0.132,0.0858,0.509,111.474,spotify:track:5pjWzUc1tVcewUTdDJd6Ce,4
Oh Wonder,How It Goes,0.581,0.351,6,-12.2,1,0.104,0.867,0.00162,0.375,0.524,93.988,spotify:track:5Dpeoi8BLN4iWM0oaRU7C6,4
Hollow Coves,These Memories,0.537,0.265,1,-18.229,1,0.0304,0.961,0.131,0.0676,0.384,77.471,spotify:track:28sWYevC75ZrUMJ0tD4zWM,4
Vance Joy,Riptide,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,4
Phillip Phillips,Home,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,spotify:track:4rsW3WCZBGwhHfJWuHRwyT,4
Phillip Phillips,"Gone, Gone, Gone",0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002,spotify:track:5L79aNYCTKiZq7vaOElXYj,4
